SMILES,JAK1,JAK1_true,JAK1_IC50,pIC50_JAK1,JAK2,JAK2_true,JAK2_IC50,pIC50_JAK2,JAK3,JAK3_true,JAK3_IC50,pIC50_JAK3,TYK2,TYK2_true,TYK2_IC50,pIC50_TYK2
CC#N.Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,5.19,1,27.37053053,-1.437283216,19.22,1,118.9650904,-2.075419539,8.5,1,46.44808743,-1.666967836,0.88,1,4.439063761,-0.647291383
COC(=O)C1(O)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1.78,1,9.061290979,-0.957190077,2.95,1,15.19835137,-1.181796481,0.5,1,2.512562814,-0.400116928,0.9,1,4.54086781,-0.657138859
CC(C)(C)c1nc2c3cc[nH]c(=O)c3c3cc(F)ccc3c2[nH]1,2.54,1,13.03098707,-1.114977314,1.37,1,6.945148535,-0.841681538,0.44,1,2.20972278,-0.344337793,1.48,1,7.511165246,-0.875707317
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,2.07,1,10.56877361,-1.024024595,1.85,1,9.424350484,-0.974251429,0.74,1,3.727584123,-0.571427453,1.85,1,9.424350484,-0.974251429
Cn1c2ccccc2c2c3c(c4c5ccccc5n(CCC#N)c4c21)CNC3=O,20.16,1,126.252505,-2.101240004,5.58,1,29.5488244,-1.470540207,2.44,1,12.50512505,-1.097088039,2.62,1,13.4524543,-1.128801525
O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC3O1,22.22,1,142.838776,-2.15484612,14.19,1,82.68267102,-1.917414498,1.87,1,9.528176908,-0.979009812,4.32,1,22.57525084,-1.353632585
CCN(CC)C(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,51.78,1,536.9141435,-2.729904844,4.21,1,21.97515398,-1.341931927,6.39,1,34.13096891,-1.533148617,4.96,1,26.09427609,-1.416545253
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=S)Nc1c(F)cccc1F,4.86,1,25.54130755,-1.407243127,3.16,1,16.31557208,-1.212602306,5.21,1,27.48180188,-1.439045204,5.11,1,26.92591422,-1.430170458
NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O,5.45,1,28.82072977,-1.459704973,7.2,1,38.79310345,-1.588754525,60.5,1,765.8227848,-2.884128283,6.3,1,33.61792956,-1.526570963
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,16.26,1,97.08621925,-1.987157589,8.94,1,49.08851307,-1.690979877,0.78,1,3.930659141,-0.594465384,8.26,1,45.01853063,-1.653391316
OCC(O)CCON=C1C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,25.86,1,174.3997842,-2.241545943,43.1,1,378.7346221,-2.578335008,16.93,1,101.9020104,-2.008182752,9.42,1,51.99823361,-1.715988591
CN(C)S(=O)(=O)c1ccc2c(c1)C(=Cc1cc3c([nH]1)CCCC3)C(=O)N2,66.8,0,1006.024096,-3.002608383,46.09,1,427.4717121,-2.630907381,64.84,1,922.0705347,-2.964764144,11.35,1,64.01579244,-1.806287126
CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12,2.3,1,11.77072671,-1.070803276,5.14,1,27.09255745,-1.432850003,1.93,1,9.839910268,-0.992991138,12.04,1,68.44020009,-1.835311271
O=C1Nc2ccc3ncsc3c2C1=Cc1cnc[nH]1,53.95,1,585.7763301,-2.767731819,69.9,0,1161.129568,-3.064880684,20.63,1,129.9609424,-2.113812852,12.35,1,70.45065602,-1.847885042
O=C1Nc2ccc(-c3cccnc3)cc2/C1=C/c1ccc[nH]1,60.32,1,760.0806452,-2.880859674,58.01,1,690.7597047,-2.839326995,4.79,1,25.1549207,-1.400622953,20.37,1,127.9040563,-2.106884318
