SMILES,pIC50_JAK1,JAK2,pIC50_JAK2,JAK2,JAK2_true,JAK3,pIC50_JAK3,JAK3_true,TYK2,pIC50_TYK2,TYK2_true
N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,,0.036,1.443697499,0.036,1,2,-0.301029996,1,0.9,0.045757491,1
CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12,,0.58,0.236572006,0.58,1,0.16,0.795880017,1,4.8,-0.681241237,1
CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(C3=CCCCC3)c2)CC1,,9.9,-0.995635195,9.9,1,18,-1.255272505,1,5.8,-0.763427994,1
CC12OC(CC1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,,3.7,-0.568201724,3.7,1,2.3,-0.361727836,1,15,-1.176091259,1
Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,,1.1,-0.041392685,1.1,1,74,-1.86923172,1,21,-1.322219295,1
COC(=O)c1ccc2c(C(=Nc3ccc(N(C)C(=O)CN4CCN(C)CC4)cc3)c3ccccc3)c(O)[nH]c2c1,,14,-1.146128036,14,1,8.2,-0.913813852,1,37,-1.568201724,1
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,9.8,-0.991226076,9.8,1,12,-1.079181246,1,56,-1.748188027,1
CC(O)C(=O)O.CN1CCN(c2ccc3nc(C4C(=N)c5c(F)cccc5NC4=O)[nH]c3c2)CC1,,130,-2.113943352,130,1,410,-2.612783857,1,150,-2.176091259,1
O=C(c1ccc(C=Cc2n[nH]c3ccccc23)cc1)N1CCNCC1,,76,-1.880813592,76,1,39,-1.591064607,1,160,-2.204119983,1
CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1,,5500,-3.740362689,5500,0,1600,-3.204119983,0,180,-2.255272505,1
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC.O=S(=O)(O)c1ccccc1,,3.5,-0.544068044,3.5,1,36,-1.556302501,1,190,-2.278753601,1
