SMILES,JAK1,pIC50_JAK1,JAK2,pIC50_JAK2,JAK3,pIC50_JAK3,TYK2,pIC50_TYK2
[2H]C([2H])([2H])N=C(O)c1cnc(N=C(O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,,,,,,,13,-1.113943352
[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,,,,,,,13,-1.113943352
[2H]C([2H])([2H])NC(=O)c1n[nH]c(=NC(=O)C2CC2)cc1Nc1ccccc1S(C)(=O)=O,,,,,,,50000,-4.698970004
[2H]C([2H])([2H])NC(=O)c1n[nH]c(=Nc2ccc(F)cn2)cc1Nc1ccccc1S(C)(=O)=O,,,,,,,200,-2.301029996
[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,1,0,,,,,,
[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1ccccc1S(C)(=O)=O,,,,,,,1.3,-0.113943352
[2H]C([2H])([2H])NC(=O)c1nnc(Nc2ccc(F)cn2)cc1Nc1ccccc1S(C)(=O)=O,,,,,,,0.58,0.236572006
[2H]C([2H])([2H])NC(=O)c1nnc(Nc2ccccn2)cc1Nc1ccccc1S(C)(=O)=O,,,,,,,0.53,0.27572413
[C-]#[N+]/C(=C/c1ccc(Nc2cnc3[nH]cc(C(=O)C(C)(C)C)c3n2)cc1)C(=O)N1CCC1,,,,,150,-2.176091259,,
[C-]#[N+]/C(=C/c1ccc(Nc2cnc3[nH]cc(C(=O)C(C)(C)C)c3n2)cc1)C(=O)N1CCCCC1,,,,,1270,-3.103803721,,
[C-]#[N+]/C(=C/c1ccc(Nc2cnc3[nH]cc(C(=O)C(C)(C)C)c3n2)cc1)C(=O)NCC,,,,,1770,-3.247973266,,
[C-]#[N+]/C(=C/c1ccc(Nc2cnc3[nH]cc(C(=O)C(C)(C)C)c3n2)cc1)C(N)=O,,,,,304.9,-2.484157424,,
[C-]#[N+]/C(=C/c1ccc(Nc2cnc3[nH]cc(C(=O)C(C)(C)C)c3n2)cc1)c1nccs1,,,,,2200,-3.342422681,,
[C-]#[N+][C@@H]1C[C@@H](N(C)C2COC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,9,-0.954242509,106,-2.025305865,,,,
[C-]#[N+][C@@H]1C[C@@H](N2CCC2)CC[C@H]1n1cc(Nc2ccc(OC(F)F)nc2)c(C(=N)O)c1,5,-0.698970004,87,-1.939519253,,,,
[C-]#[N+][C@@H]1C[C@@H](O)CC[C@H]1n1cc(C(=N)O)c(Nc2ccc(OC(F)(F)F)cc2)n1,6,-0.77815125,61,-1.785329835,,,,
[C-]#[N+][C@@H]1C[C@@H](OCC2CC2)CC[C@@H]1n1cc(C(=N)O)c(=Nc2ccnc(F)c2)[nH]1,6,-0.77815125,76,-1.880813592,,,,
[C-]#[N+][C@@H]1C[C@@H]1C(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Nc3cnn(C)c3)n1)C2,,,,,,,427,-2.630427875
[C-]#[N+][C@@H]1C[C@H](C(=O)N2CC(C)(C)C2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,9,-0.954242509,290,-2.462397998,,,,
[C-]#[N+][C@@H]1C[C@H](OCC2CC2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccnc(F)c2)n1,69,-1.838849091,150,-2.176091259,,,,
[C-]#[N+][C@@H]1C[C@H](OCC2CC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccnc(F)c2)n1,2,-0.301029996,9,-0.954242509,,,,
